YEAR,MO,DY,HR,ALLSKY_SFC_UVB,ALLSKY_SFC_LW_DWN,PRECTOTCORR,PS
2025,1,6,5,0.0,371.05,1.51,84.59
2025,1,6,6,0.01,373.83,0.97,84.64
2025,1,6,7,0.1,373.02,1.27,84.69
2025,1,6,8,0.42,392.38,1.04,84.72
2025,1,6,9,0.86,401.2,0.86,84.72
2025,1,6,10,1.34,398.83,0.85,84.67
2025,1,6,11,1.76,400.1,0.77,84.58
2025,1,6,12,1.72,400.73,0.86,84.48
2025,1,6,13,1.41,390.12,0.97,84.39
2025,1,6,14,1.05,396.12,0.87,84.34
2025,1,6,15,0.56,388.35,0.76,84.33
2025,1,6,16,0.16,384.58,0.56,84.37
2025,1,6,17,0.01,380.25,0.5,84.44
2025,1,6,18,0.0,379.62,0.38,84.52
2025,1,6,19,0.0,369.83,0.33,84.6
2025,1,6,20,0.0,379.12,0.24,84.66
2025,1,6,21,0.0,372.6,0.16,84.68
2025,1,6,22,0.0,374.4,0.12,84.65
2025,1,6,23,0.0,372.62,0.11,84.59
2025,1,7,0,0.0,369.77,0.11,84.5
2025,1,7,1,0.0,348.98,0.12,84.44
2025,1,7,2,0.0,365.6,0.14,84.44
2025,1,7,3,0.0,362.52,0.24,84.47
2025,1,7,4,0.0,366.8,0.4,84.51
2025,1,7,5,0.0,371.08,0.52,84.56
2025,1,7,6,0.01,366.83,0.52,84.62
2025,1,7,7,0.14,354.3,0.65,84.68
2025,1,7,8,0.56,369.52,0.76,84.72
2025,1,7,9,1.11,385.05,0.58,84.72
2025,1,7,10,1.61,396.6,0.72,84.69
2025,1,7,11,1.8,414.27,0.68,84.62
2025,1,7,12,1.84,404.15,0.74,84.52
2025,1,7,13,1.58,400.8,0.85,84.44
2025,1,7,14,1.13,404.62,0.84,84.38
2025,1,7,15,0.56,400.67,0.87,84.37
2025,1,7,16,0.16,399.38,0.91,84.4
2025,1,7,17,0.01,393.67,1.08,84.45
2025,1,7,18,0.0,387.2,1.15,84.5
2025,1,7,19,0.0,377.98,1.27,84.57
2025,1,7,20,0.0,392.95,1.32,84.62
2025,1,7,21,0.0,393.5,1.5,84.64
2025,1,7,22,0.0,390.9,1.75,84.63
2025,1,7,23,0.0,390.6,2.09,84.61
2025,1,8,0,0.0,394.52,2.42,84.58
